name_match,name_steam,developer_steam,publisher_steam,price_steam,initialprice_steam,discount_steam,ccu,positive,owners_midpoint,approval_rate_steam,average_2weeks,name_gog,developer_gog,publisher_gog,price_gog,initialprice_gog,discount_gog,approval_rate_gog,name_epic,developer_epic,publisher_epic,price_epic,initialprice_epic,discount_epic,approval_rate_epic
medal of honor allied assault war chest,,,,,,,,,,,,Medal of Honor: Allied Assault War Chest,Electronic Arts,Electronic Arts,24.39,48.89,50.0,88.0,,,,,,,
might and magic 6 limited,,,,,,,,,,,,Might and Magic® 6-pack Limited Edition,"New World Computing, Inc.",Ubisoft,10.0,19.99,50.0,94.0,,,,,,,
might and magic 7 for blood and honor,,,,,,,,,,,,Might and Magic® 7: For Blood and Honor®,"New World Computing, Inc.",Ubisoft,2.39,11.99,80.0,92.0,,,,,,,
might and magic 8 day of the destroyer,,,,,,,,,,,,Might and Magic® 8: Day of the Destroyer™,"New World Computing, Inc.",Ubisoft,2.39,11.99,80.0,88.0,,,,,,,
monster hunter wilds,Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",279.0,279.0,0.0,12494.0,127273.0,35000000.0,58.27,483.0,,,,,,,,,,,,,,
monster hunter world,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",129.0,129.0,0.0,11923.0,434239.0,15000000.0,88.01,837.0,,,,,,,,,,,,,,
mortal kombat 1,,,,,,,,,,,,,,,,,,,Mortal Kombat 1,Warner Bros.,Unknown,199.99,199.99,0.0,
mortal kombat 123,,,,,,,,,,,,Mortal Kombat 1+2+3,Midway Games,Warner Bros. Interactive Entertainment,11.99,11.99,0.0,72.0,,,,,,,
mount blade ii bannerlord,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,159.99,159.99,0.0,14477.0,232360.0,15000000.0,87.88,716.0,,,,,,,,,,,,,,
myst masterpiece,,,,,,,,,,,,Myst Masterpiece Edition,Cyan Worlds,Cyan Worlds,8.19,20.49,60.0,86.0,,,,,,,
naraka bladepoint,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,0.0,0.0,0.0,66954.0,225960.0,15000000.0,69.54,608.0,,,,,,,,,,,,,,
nba 2k20,NBA 2K20,Visual Concepts,2K,0.0,0.0,0.0,221.0,30260.0,7500000.0,49.87,148.0,,,,,,,,,,,,,,
need for speed heat,,,,,,,,,,,,,,,,,,,Need for Speed™ Heat Deluxe Edition,Ghost Games,Electronic Arts,279.0,279.0,0.0,
need for speed unbound,,,,,,,,,,,,,,,,,,,Need for Speed™ Unbound Standard Edition,Criterion Games,Electronic Arts,299.0,299.0,0.0,
neverwinter nights 2,,,,,,,,,,,,Neverwinter Nights 2 Complete,Obsidian Entertainment,Hasbro Inc.,36.99,36.99,0.0,88.0,,,,,,,
new world aeternum,New World: Aeternum,Amazon Games,Amazon Games,299.99,299.99,0.0,5583.0,196798.0,75000000.0,68.6,2351.0,,,,,,,,,,,,,,
nox,,,,,,,,,,,,Nox™,Westwood Studios,Electronic Arts,6.69,29.29,77.0,88.0,,,,,,,
overcooked 2,,,,,,,,,,,,,,,,,,,Overcooked! 2,Ghost Town Games and Team17 Digital Ltd,Team17 Digital Ltd,59.9,59.9,0.0,
paladins,Paladins,Evil Mojo Games,Hi-Rez Studios,0.0,0.0,0.0,1028.0,294373.0,15000000.0,84.98,393.0,,,,,,,,,,,,,,
